Policy: Stanley
Seen length: 10
Model: Kinematic 
4.999999999999999  9.0 1.57
8
0.01
500
4.999999999999999 9.0
5.996333170138114 11.851607059170393
7.169671116265432 13.261746928480388
8.47090129068406 13.561737686109318
9.850911145696095 13.082897410236523
11.26058813360364 12.156544179041333
12.650819706708798 11.113996070703083
13.972493317313669 10.286571163401106
15.17656247580665 10.005259226402432
16.24122428434408 10.465649285737236
17.21379325993278 11.519816581842603
18.15238080734799 12.96617578642648
19.11509833136499 14.60314157119683
20.160019796983853 16.22923959174866
21.327300680643393 17.696111835225274
22.610516258019704 18.993479423002583
23.995770032102925 20.13321228403488
25.46916550588322 21.127180347276468
27.016806182350738 21.98725354168162
28.62479556449565 22.725301796204654
30.279237155308092 23.353195039799843
31.966234457778253 23.882803201421503
33.67189097489625 24.325996210023902
35.38231020965226 24.694643994561353
37.08359566503644 25.000616483988132
38.76185084403894 25.255783607258543
40.4031792496499 25.472015293326884
41.99368438485951 25.661181471147437
43.51946975265789 25.835152069674496
44.96663885603524 26.005797017862367
46.321295197981655 26.184986244665325
47.56954228148736 26.38458967903768
48.69748360954246 26.616477249933716
49.69122268513713 26.892518886307734
50.53686301126151 27.22458451711401
51.22050809090577 27.62454407130685
51.72826142706009 28.10426747784056
52.04622652271457 28.675624665669403
52.160506880859394 29.350485563747696
52.05720600448477 30.140720101029736
51.722427396580755 31.058198206469786
51.14227456013757 32.11478980902217
50.30285099814536 33.322364837641175
49.19026021359426 34.69279322128108
47.79060570947442 36.23794488889616
46.08999098877604 37.96968976944076
44.07451955448926 39.89989779186915
41.73029490960422 42.04043888513563
39.04342055711108 44.40318297819448
36.0 47.0
